SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5 Rock Ridge Dr,Old Saybrook,CT,06475,359000,3,2.5,Old Saybrook,1836,58370,1972,2,196,,Active,,,http://www.redfin.com/CT/Old-Saybrook/5-Rock-Ridge-Dr-06475/home/54421744,Smart MLS,170280009,N,Y,41.2991635,-72.419365
MLS Listing,,Condo/Co-op,175 Ferry Rd #17,Old Saybrook,CT,06475,494900,2,3.0,Saybrook Ferry,2987,,2006,5,166,540,Active,,,http://www.redfin.com/CT/Old-Saybrook/175-Ferry-Rd-06475/unit-17/home/54417545,Smart MLS,170280022,N,Y,41.3169052,-72.3522624
MLS Listing,,Single Family Residential,146 Maple Ave,Old Saybrook,CT,06475,515000,4,2.5,Old Saybrook,2235,26571,1969,12,230,,Active,,,http://www.redfin.com/CT/Old-Saybrook/146-Maple-Ave-06475/home/54422712,Smart MLS,170278942,N,Y,41.2739025,-72.3770113
MLS Listing,,Single Family Residential,488 Main St,Old Saybrook,CT,06475,799000,4,1.5,Saybrook Point,2712,33541,1870,12,295,,Active,,,http://www.redfin.com/CT/Old-Saybrook/488-Main-St-06475/home/54420146,Smart MLS,170278528,N,Y,41.2837417,-72.3689652
MLS Listing,,Single Family Residential,200 Cromwell Ct N,Old Saybrook,CT,06475,795000,5,3.5,Saybrook Point,2742,23086,1966,14,290,,Active,,,http://www.redfin.com/CT/Old-Saybrook/200-Cromwell-Ct-N-06475/home/54420498,Smart MLS,170278025,N,Y,41.2872181,-72.3555545
MLS Listing,,Condo/Co-op,6 Blue Heron Way #6,Old Saybrook,CT,06475,429900,2,2.5,Old Saybrook,2004,,2004,15,215,370,Active,,,http://www.redfin.com/CT/Old-Saybrook/6-Blue-Heron-Way-06475/unit-6/home/170950288,Smart MLS,170277319,N,Y,41.2852064,-72.419039
MLS Listing,,Single Family Residential,164 & 172 Ferry Rd,Old Saybrook,CT,06475,574900,2,1.0,Old Saybrook,790,40946,1975,16,728,,Active,,,http://www.redfin.com/CT/Old-Saybrook/172-Ferry-Rd-06475/home/54421346,Smart MLS,170275828,N,Y,41.3165989,-72.351257
MLS Listing,,Single Family Residential,12 Brenda Rd,Old Saybrook,CT,06475,580000,6,4.5,Old Saybrook,3477,72309,1998,19,167,,Active,,,http://www.redfin.com/CT/Old-Saybrook/12-Brenda-Ln-06475/home/54423442,Smart MLS,170276658,N,Y,41.3207364,-72.3832076
MLS Listing,,Single Family Residential,10 Lynde St,Old Saybrook,CT,06475,840000,3,2.5,Old Saybrook,4486,21780,1978,21,187,,Active,,,http://www.redfin.com/CT/Old-Saybrook/10-Lynde-St-06475/home/54420625,Smart MLS,170270471,N,Y,41.2891377,-72.379439
MLS Listing,,Single Family Residential,4 Briarwood Dr,Old Saybrook,CT,06475,389000,3,1.5,Forest Glen,2243,20908,1958,21,173,,Active,,,http://www.redfin.com/CT/Old-Saybrook/4-Briarwood-Dr-06475/home/54418360,Smart MLS,170275738,N,Y,41.2697462,-72.3858895
MLS Listing,,Single Family Residential,37 Chalker Beach Rd,Old Saybrook,CT,06475,529000,2,2.5,Chalker Beach,1720,27878,2000,23,308,,Active,,,http://www.redfin.com/CT/Old-Saybrook/37-Chalker-Beach-Rd-06475/home/54419392,Smart MLS,170271872,N,Y,41.2846258,-72.4113201
MLS Listing,,Vacant Land,4 Bethel Hts,Old Saybrook,CT,06475,150000,,,Bethel Heights,,43560,,24,,,Active,,,http://www.redfin.com/CT/Old-Saybrook/4-Bethel-Hts-06475/home/54417422,Smart MLS,170271301,N,Y,41.293777,-72.398339
MLS Listing,,Vacant Land,6 Wisteria Ln,Old Saybrook,CT,06475,105000,,,Bethel Heights,,67953,,24,,,Active,,,http://www.redfin.com/CT/Old-Saybrook/6-Wisteria-Ln-06475/home/54417427,Smart MLS,170271289,N,Y,41.2952919,-72.3996452
