SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,38 Hope St #22,East Lyme,CT,06357,270000,2,2.0,Niantic,882,,2008,2,306,350,Active,,,http://www.redfin.com/CT/Niantic/38-Hope-St-06357/unit-22/home/167023205,Smart MLS,170272391,N,Y,41.325434,-72.1970544
MLS Listing,,Condo/Co-op,97 W Main St #33,East Lyme,CT,06357,219000,2,3.5,Niantic,1904,,1984,2,115,300,Active,,,http://www.redfin.com/CT/Niantic/97-W-Main-St-06357/unit-33/home/54379020,Smart MLS,170270971,N,Y,41.3204871,-72.215515
MLS Listing,,Single Family Residential,46 Hope St,East Lyme,CT,06357,299900,4,2.0,Niantic,2000,21780,1900,3,150,,Active,,,http://www.redfin.com/CT/Niantic/46-Hope-St-06357/home/54378888,Smart MLS,170271932,N,Y,41.3242509,-72.1968894
MLS Listing,,Single Family Residential,20 Columbus Ave,East Lyme,CT,06357,535000,3,2.5,Niantic,2490,14810,1994,4,215,,Active,,,http://www.redfin.com/CT/Niantic/20-Columbus-Ave-06357/home/54384050,Smart MLS,170269815,N,Y,41.32035,-72.199538
MLS Listing,,Condo/Co-op,97 W Main St #65,East Lyme,CT,06357,216500,2,2.5,Niantic,1488,,1984,4,145,300,Active,,,http://www.redfin.com/CT/Niantic/97-W-Main-St-06357/unit-65/home/54379138,Smart MLS,170270970,N,Y,41.3204871,-72.215515
MLS Listing,,Multi-Family (2-4 Unit),54 E Pattagansett Rd,East Lyme,CT,06357,319000,6,3.5,Niantic,2069,23958,1900,5,154,,Active,,,http://www.redfin.com/CT/Niantic/54-E-Pattagansett-Rd-06357/home/54378780,Smart MLS,170270088,N,Y,41.325757,-72.2041423
MLS Listing,,Single Family Residential,28 Willow Ln,East Lyme,CT,06333,574900,4,3.5,Deans Ridge,5549,65340,1997,5,104,,Active,,,http://www.redfin.com/CT/East-Lyme/28R-Willow-Ln-06333/home/54381074,Smart MLS,170271149,N,Y,41.3540579,-72.2305265
MLS Listing,,Condo/Co-op,11 King Arthur Dr Unit 1B,East Lyme,CT,06357,125500,2,1.5,East Lyme,1120,,1969,6,112,415,Active,,,http://www.redfin.com/CT/Niantic/11-King-Arthur-Dr-06357/unit-1B/home/54383528,Smart MLS,170269870,N,Y,41.3587081,-72.2043157
MLS Listing,,Single Family Residential,12 Johnny Cake Rd,East Lyme,CT,06357,314900,3,1.5,Niantic,1801,22215,1975,9,175,,Active,,,http://www.redfin.com/CT/Niantic/12-Johnny-Cake-Rd-06357/home/54379452,Smart MLS,170270385,N,Y,41.3295585,-72.221412
MLS Listing,,Single Family Residential,29 Woodbridge Rd,East Lyme,CT,06357,399999,3,3.0,Giants Neck,2791,9583,1980,11,143,10,Active,,,http://www.redfin.com/CT/Niantic/29-Woodbridge-Rd-06357/home/54383210,Smart MLS,170269525,N,Y,41.3024523,-72.2291848
