SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,32 Clover Mill Rd,Mansfield,CT,06268,275000,4,2.0,Storrs,1272,56628,1975,1,216,,Active,,,http://www.redfin.com/CT/Storrs/32-Clover-Mill-Rd-06268/home/53789103,Smart MLS,170280543,N,Y,41.7727587,-72.2067912
MLS Listing,,Single Family Residential,49 Susan Ln,Coventry,CT,06238,299900,3,2.0,Coventry,2416,39639,1997,1,124,,Active,,,http://www.redfin.com/CT/Coventry/49-Susan-Ln-06238/home/54453652,Smart MLS,170282128,N,Y,41.7984713,-72.4101643
MLS Listing,,Single Family Residential,1946 Boston Tpke,Coventry,CT,06238,125000,3,1.5,Coventry,1037,130680,1930,1,121,,Active,,,http://www.redfin.com/CT/Coventry/1946-Boston-Tpke-06238/home/54449227,Smart MLS,170282963,N,Y,41.7987645,-72.3835775
MLS Listing,,Single Family Residential,280 Old Springfield Rd,Stafford,CT,06076,199900,3,2.0,Stafford Springs,1512,151153,1991,1,132,,Active,,,http://www.redfin.com/CT/Stafford-Springs/280-Old-Springfield-Rd-06076/home/53902931,Smart MLS,170282883,N,Y,42.0020116,-72.3841786
MLS Listing,,Single Family Residential,153 Regan Rd,Vernon,CT,06066,169900,3,1.0,Vernon Center,1008,13503,1958,1,169,,Active,,,http://www.redfin.com/CT/Vernon/153-Regan-Rd-06066/home/54343994,Smart MLS,170282425,N,Y,41.8529202,-72.4769086
MLS Listing,,Single Family Residential,178 Hall Hill Rd,Somers,CT,06071,284900,4,2.5,Somers,2000,42253,1974,1,142,,Active,March-22-2020 11:00 AM,March-22-2020 12:30 PM,http://www.redfin.com/CT/Somers/178-Hall-Hill-Rd-06071/home/53776957,Smart MLS,170282298,N,Y,41.9979454,-72.4878679
MLS Listing,,Single Family Residential,5 Summit Dr,Somers,CT,06071,329900,4,2.5,Somers,3208,44431,1967,1,103,,Active,,,http://www.redfin.com/CT/Somers/5-Summit-Dr-06071/home/53778168,Smart MLS,170281860,N,Y,41.9906512,-72.4219078
MLS Listing,,Single Family Residential,37 Lookout Lndg,Bolton,CT,06043,390000,4,3.0,Birch Mountain,3081,41382,1995,1,127,13,Active,,,http://www.redfin.com/CT/Bolton/37-Lookout-Lndg-06043/home/53985356,Smart MLS,170279950,N,Y,41.7386649,-72.4583837
MLS Listing,,Single Family Residential,87 Bette Cir,Vernon,CT,06066,234900,4,3.0,Vernon,1415,31363,1967,1,166,,Active,,,http://www.redfin.com/CT/Vernon/87-Bette-Cir-06066/home/54338480,Smart MLS,170282243,N,Y,41.8408014,-72.4713998
MLS Listing,,Vacant Land,0 Porter Rd,Ellington,CT,06029,200000,,,Ellington,,228254,,1,,,Active,,,http://www.redfin.com/CT/Ellington/Porter-Rd-06029/home/168285458,Smart MLS,170282539,N,Y,41.929926,-72.445416
MLS Listing,,Single Family Residential,6 Gavin Dr,Columbia,CT,06237,424000,4,2.5,Columbia,3392,68824,2001,1,125,,Active,,,http://www.redfin.com/CT/Columbia/6-Gavin-Dr-06237/home/53773790,Smart MLS,170282747,N,Y,41.7207974,-72.3432579
MLS Listing,,Single Family Residential,99 Hampden Rd,Somers,CT,06071,549900,5,3.5,Somers,4500,170755,1988,1,122,,Active,,,http://www.redfin.com/CT/Somers/99-Hampden-Rd-06071/home/53776937,Smart MLS,170281044,N,Y,42.0261045,-72.4467315
